# extension<TAB>MIME type<TAB>description
fa	text/x-fasta	FASTA sequence
fasta	text/x-fasta	FASTA sequence
fna	text/x-fasta	FASTA sequence
fas	text/x-fasta	FASTA sequence
seq	text/x-fasta	FASTA sequence
gb	chemical/x-genbank	GenBank sequence
gbk	chemical/x-genbank	GenBank sequence
genbank	chemical/x-genbank	GenBank sequence
ape	chemical/x-genbank	GenBank sequence
gff	text/x-gff3	GFF3 annotation
gff3	text/x-gff3	GFF3 annotation
embl	text/x-embl	EMBL sequence
ena	text/x-embl	EMBL sequence
swiss	chemical/x-swiss-prot	Swiss-Prot sequence
sprot	chemical/x-swiss-prot	Swiss-Prot sequence
dat	chemical/x-swiss-prot	Swiss-Prot sequence
aln	text/x-fasta-alignment	FASTA alignment
afa	text/x-fasta-alignment	FASTA alignment
msa	text/x-fasta-alignment	FASTA alignment
